mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,VIN,od_reading,od_reading_dt
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,3GNBAADB8AS581403,60000,1/1/2018
15,8,350,165,3693,11.5,70,1,buick skylark 320,3GNBAADB8AS581404,60100,1/2/2018
18,8,318,150,3436,11,70,1,plymouth satellite,3GNBAADB8AS581405,60200,1/3/2018
16,8,304,150,3433,12,70,1,amc rebel sst,3GNBAADB8AS581406,60300,1/4/2018
17,8,302,140,3449,10.5,70,1,ford torino,3GNBAADB8AS581407,60400,1/5/2018
15,8,429,198,4341,10,70,1,ford galaxie 500,3GNBAADB8AS581408,60500,1/6/2018
14,8,454,220,4354,9,70,1,chevrolet impala,3GNBAADB8AS581409,60600,1/7/2018
14,8,440,215,4312,8.5,70,1,plymouth fury iii,3GNBAADB8AS581410,60700,1/8/2018
14,8,455,225,4425,10,70,1,pontiac catalina,3GNBAADB8AS581411,60800,1/9/2018
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,3GNBAADB8AS581412,60900,1/10/2018
15,8,383,170,3563,10,70,1,dodge challenger se,3GNBAADB8AS581413,61000,1/11/2018
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,3GNBAADB8AS581414,61100,1/12/2018
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,3GNBAADB8AS581415,61200,1/13/2018
14,8,455,225,3086,10,70,1,buick estate wagon (sw),3GNBAADB8AS581416,61300,1/14/2018
24,4,113,95,2372,15,70,3,toyota corona mark ii,3GNBAADB8AS581417,61400,1/15/2018
22,6,198,95,2833,15.5,70,1,plymouth duster,3GNBAADB8AS581418,61500,1/16/2018
18,6,199,97,2774,15.5,70,1,amc hornet,3GNBAADB8AS581419,61600,1/17/2018
21,6,200,85,2587,16,70,1,ford maverick,3GNBAADB8AS581420,61700,1/18/2018
27,4,97,88,2130,14.5,70,3,datsun pl510,3GNBAADB8AS581421,61800,1/19/2018
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,3GNBAADB8AS581422,61900,1/20/2018
25,4,110,87,2672,17.5,70,2,peugeot 504,3GNBAADB8AS581423,62000,1/21/2018
24,4,107,90,2430,14.5,70,2,audi 100 ls,3GNBAADB8AS581424,62100,1/22/2018
25,4,104,95,2375,17.5,70,2,saab 99e,3GNBAADB8AS581425,62200,1/23/2018
26,4,121,113,2234,12.5,70,2,bmw 2002,3GNBAADB8AS581426,62300,1/24/2018
21,6,199,90,2648,15,70,1,amc gremlin,3GNBAADB8AS581427,62400,1/25/2018
10,8,360,215,4615,14,70,1,ford f250,3GNBAADB8AS581428,62500,1/26/2018
10,8,307,200,4376,15,70,1,chevy c20,3GNBAADB8AS581429,62600,1/27/2018
11,8,318,210,4382,13.5,70,1,dodge d200,3GNBAADB8AS581430,62700,1/28/2018
9,8,304,193,4732,18.5,70,1,hi 1200d,3GNBAADB8AS581431,62800,1/29/2018
27,4,97,88,2130,14.5,71,3,datsun pl510,3GNBAADB8AS581432,62900,1/30/2018
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,3GNBAADB8AS581433,63000,1/31/2018
25,4,113,95,2228,14,71,3,toyota corona,3GNBAADB8AS581434,63100,2/1/2018
25,4,98,?,2046,19,71,1,ford pinto,3GNBAADB8AS581435,63200,2/2/2018
19,6,232,100,2634,13,71,1,amc gremlin,3GNBAADB8AS581436,63300,2/3/2018
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,3GNBAADB8AS581437,63400,2/4/2018
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,3GNBAADB8AS581438,63500,2/5/2018
19,6,250,88,3302,15.5,71,1,ford torino 500,3GNBAADB8AS581439,63600,2/6/2018
18,6,232,100,3288,15.5,71,1,amc matador,3GNBAADB8AS581440,63700,2/7/2018
14,8,350,165,4209,12,71,1,chevrolet impala,3GNBAADB8AS581441,63800,2/8/2018
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,3GNBAADB8AS581442,63900,2/9/2018
14,8,351,153,4154,13.5,71,1,ford galaxie 500,3GNBAADB8AS581443,64000,2/10/2018
14,8,318,150,4096,13,71,1,plymouth fury iii,3GNBAADB8AS581444,64100,2/11/2018
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),3GNBAADB8AS581445,64200,2/12/2018
13,8,400,170,4746,12,71,1,ford country squire (sw),3GNBAADB8AS581446,64300,2/13/2018
13,8,400,175,5140,12,71,1,pontiac safari (sw),3GNBAADB8AS581447,64400,2/14/2018
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),3GNBAADB8AS581448,64500,2/15/2018
22,4,140,72,2408,19,71,1,chevrolet vega (sw),3GNBAADB8AS581449,64600,2/16/2018
19,6,250,100,3282,15,71,1,pontiac firebird,3GNBAADB8AS581450,64700,2/17/2018
18,6,250,88,3139,14.5,71,1,ford mustang,3GNBAADB8AS581451,64800,2/18/2018
23,4,122,86,2220,14,71,1,mercury capri 2000,3GNBAADB8AS581452,64900,2/19/2018
28,4,116,90,2123,14,71,2,opel 1900,3GNBAADB8AS581453,65000,2/20/2018
30,4,79,70,2074,19.5,71,2,peugeot 304,3GNBAADB8AS581454,65100,2/21/2018
30,4,88,76,2065,14.5,71,2,fiat 124b,3GNBAADB8AS581455,65200,2/22/2018
31,4,71,65,1773,19,71,3,toyota corolla 1200,3GNBAADB8AS581456,65300,2/23/2018
35,4,72,69,1613,18,71,3,datsun 1200,3GNBAADB8AS581457,65400,2/24/2018
27,4,97,60,1834,19,71,2,volkswagen model 111,3GNBAADB8AS581458,65500,2/25/2018
26,4,91,70,1955,20.5,71,1,plymouth cricket,3GNBAADB8AS581459,65600,2/26/2018
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,3GNBAADB8AS581460,65700,2/27/2018
25,4,97.5,80,2126,17,72,1,dodge colt hardtop,3GNBAADB8AS581461,65800,2/28/2018
23,4,97,54,2254,23.5,72,2,volkswagen type 3,3GNBAADB8AS581462,65900,3/1/2018
20,4,140,90,2408,19.5,72,1,chevrolet vega,3GNBAADB8AS581463,66000,3/2/2018
21,4,122,86,2226,16.5,72,1,ford pinto runabout,3GNBAADB8AS581464,66100,3/3/2018
13,8,350,165,4274,12,72,1,chevrolet impala,3GNBAADB8AS581465,66200,3/4/2018
14,8,400,175,4385,12,72,1,pontiac catalina,3GNBAADB8AS581466,66300,3/5/2018
15,8,318,150,4135,13.5,72,1,plymouth fury iii,3GNBAADB8AS581467,66400,3/6/2018
14,8,351,153,4129,13,72,1,ford galaxie 500,3GNBAADB8AS581468,66500,3/7/2018
17,8,304,150,3672,11.5,72,1,amc ambassador sst,3GNBAADB8AS581469,66600,3/8/2018
11,8,429,208,4633,11,72,1,mercury marquis,3GNBAADB8AS581470,66700,3/9/2018
13,8,350,155,4502,13.5,72,1,buick lesabre custom,3GNBAADB8AS581471,66800,3/10/2018
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,3GNBAADB8AS581472,66900,3/11/2018
13,8,400,190,4422,12.5,72,1,chrysler newport royal,3GNBAADB8AS581473,67000,3/12/2018
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,3GNBAADB8AS581474,67100,3/13/2018
15,8,304,150,3892,12.5,72,1,amc matador (sw),3GNBAADB8AS581475,67200,3/14/2018
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),3GNBAADB8AS581476,67300,3/15/2018
13,8,302,140,4294,16,72,1,ford gran torino (sw),3GNBAADB8AS581477,67400,3/16/2018
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),3GNBAADB8AS581478,67500,3/17/2018
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),3GNBAADB8AS581479,67600,3/18/2018
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),3GNBAADB8AS581480,67700,3/19/2018
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),3GNBAADB8AS581481,67800,3/20/2018
26,4,96,69,2189,18,72,2,renault 12 (sw),3GNBAADB8AS581482,67900,3/21/2018
22,4,122,86,2395,16,72,1,ford pinto (sw),3GNBAADB8AS581483,68000,3/22/2018
28,4,97,92,2288,17,72,3,datsun 510 (sw),3GNBAADB8AS581484,68100,3/23/2018
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),3GNBAADB8AS581485,68200,3/24/2018
28,4,98,80,2164,15,72,1,dodge colt (sw),3GNBAADB8AS581486,68300,3/25/2018
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),3GNBAADB8AS581487,68400,3/26/2018
13,8,350,175,4100,13,73,1,buick century 350,3GNBAADB8AS581488,68500,3/27/2018
14,8,304,150,3672,11.5,73,1,amc matador,3GNBAADB8AS581489,68600,3/28/2018
13,8,350,145,3988,13,73,1,chevrolet malibu,3GNBAADB8AS581490,68700,3/29/2018
14,8,302,137,4042,14.5,73,1,ford gran torino,3GNBAADB8AS581491,68800,3/30/2018
15,8,318,150,3777,12.5,73,1,dodge coronet custom,3GNBAADB8AS581492,68900,3/31/2018
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,3GNBAADB8AS581493,69000,4/1/2018
13,8,400,150,4464,12,73,1,chevrolet caprice classic,3GNBAADB8AS581494,69100,4/2/2018
13,8,351,158,4363,13,73,1,ford ltd,3GNBAADB8AS581495,69200,4/3/2018
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,3GNBAADB8AS581496,69300,4/4/2018
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,3GNBAADB8AS581497,69400,4/5/2018
12,8,455,225,4951,11,73,1,buick electra 225 custom,3GNBAADB8AS581498,69500,4/6/2018
13,8,360,175,3821,11,73,1,amc ambassador brougham,3GNBAADB8AS581499,69600,4/7/2018
18,6,225,105,3121,16.5,73,1,plymouth valiant,3GNBAADB8AS581500,69700,4/8/2018
16,6,250,100,3278,18,73,1,chevrolet nova custom,3GNBAADB8AS581501,69800,4/9/2018
18,6,232,100,2945,16,73,1,amc hornet,3GNBAADB8AS581502,69900,4/10/2018
18,6,250,88,3021,16.5,73,1,ford maverick,3GNBAADB8AS581503,70000,4/11/2018
23,6,198,95,2904,16,73,1,plymouth duster,3GNBAADB8AS581504,70100,4/12/2018
26,4,97,46,1950,21,73,2,volkswagen super beetle,3GNBAADB8AS581505,70200,4/13/2018
11,8,400,150,4997,14,73,1,chevrolet impala,3GNBAADB8AS581506,70300,4/14/2018
12,8,400,167,4906,12.5,73,1,ford country,3GNBAADB8AS581507,70400,4/15/2018
13,8,360,170,4654,13,73,1,plymouth custom suburb,3GNBAADB8AS581508,70500,4/16/2018
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,3GNBAADB8AS581509,70600,4/17/2018
18,6,232,100,2789,15,73,1,amc gremlin,3GNBAADB8AS581510,70700,4/18/2018
20,4,97,88,2279,19,73,3,toyota carina,3GNBAADB8AS581511,70800,4/19/2018
21,4,140,72,2401,19.5,73,1,chevrolet vega,3GNBAADB8AS581512,70900,4/20/2018
22,4,108,94,2379,16.5,73,3,datsun 610,3GNBAADB8AS581513,71000,4/21/2018
18,3,70,90,2124,13.5,73,3,maxda rx3,3GNBAADB8AS581514,71100,4/22/2018
19,4,122,85,2310,18.5,73,1,ford pinto,3GNBAADB8AS581515,71200,4/23/2018
21,6,155,107,2472,14,73,1,mercury capri v6,3GNBAADB8AS581516,71300,4/24/2018
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,3GNBAADB8AS581517,71400,4/25/2018
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,3GNBAADB8AS581518,71500,4/26/2018
16,8,400,230,4278,9.5,73,1,pontiac grand prix,3GNBAADB8AS581519,71600,4/27/2018
29,4,68,49,1867,19.5,73,2,fiat 128,3GNBAADB8AS581520,71700,4/28/2018
24,4,116,75,2158,15.5,73,2,opel manta,3GNBAADB8AS581521,71800,4/29/2018
20,4,114,91,2582,14,73,2,audi 100ls,3GNBAADB8AS581522,71900,4/30/2018
19,4,121,112,2868,15.5,73,2,volvo 144ea,3GNBAADB8AS581523,72000,5/1/2018
15,8,318,150,3399,11,73,1,dodge dart custom,3GNBAADB8AS581524,72100,5/2/2018
24,4,121,110,2660,14,73,2,saab 99le,3GNBAADB8AS581525,72200,5/3/2018
20,6,156,122,2807,13.5,73,3,toyota mark ii,3GNBAADB8AS581526,72300,5/4/2018
11,8,350,180,3664,11,73,1,oldsmobile omega,3GNBAADB8AS581527,72400,5/5/2018
20,6,198,95,3102,16.5,74,1,plymouth duster,3GNBAADB8AS581528,72500,5/6/2018
21,6,200,?,2875,17,74,1,ford maverick,3GNBAADB8AS581529,72600,5/7/2018
19,6,232,100,2901,16,74,1,amc hornet,3GNBAADB8AS581530,72700,5/8/2018
15,6,250,100,3336,17,74,1,chevrolet nova,3GNBAADB8AS581531,72800,5/9/2018
31,4,79,67,1950,19,74,3,datsun b210,3GNBAADB8AS581532,72900,5/10/2018
26,4,122,80,2451,16.5,74,1,ford pinto,3GNBAADB8AS581533,73000,5/11/2018
32,4,71,65,1836,21,74,3,toyota corolla 1200,3GNBAADB8AS581534,73100,5/12/2018
25,4,140,75,2542,17,74,1,chevrolet vega,3GNBAADB8AS581535,73200,5/13/2018
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,3GNBAADB8AS581536,73300,5/14/2018
16,6,258,110,3632,18,74,1,amc matador,3GNBAADB8AS581537,73400,5/15/2018
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring,3GNBAADB8AS581538,73500,5/16/2018
16,8,302,140,4141,14,74,1,ford gran torino,3GNBAADB8AS581539,73600,5/17/2018
13,8,350,150,4699,14.5,74,1,buick century luxus (sw),3GNBAADB8AS581540,73700,5/18/2018
14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),3GNBAADB8AS581541,73800,5/19/2018
14,8,302,140,4638,16,74,1,ford gran torino (sw),3GNBAADB8AS581542,73900,5/20/2018
14,8,304,150,4257,15.5,74,1,amc matador (sw),3GNBAADB8AS581543,74000,5/21/2018
29,4,98,83,2219,16.5,74,2,audi fox,3GNBAADB8AS581544,74100,5/22/2018
26,4,79,67,1963,15.5,74,2,volkswagen dasher,3GNBAADB8AS581545,74200,5/23/2018
26,4,97,78,2300,14.5,74,2,opel manta,3GNBAADB8AS581546,74300,5/24/2018
31,4,76,52,1649,16.5,74,3,toyota corona,3GNBAADB8AS581547,74400,5/25/2018
32,4,83,61,2003,19,74,3,datsun 710,3GNBAADB8AS581548,74500,5/26/2018
28,4,90,75,2125,14.5,74,1,dodge colt,3GNBAADB8AS581549,74600,5/27/2018
24,4,90,75,2108,15.5,74,2,fiat 128,3GNBAADB8AS581550,74700,5/28/2018
26,4,116,75,2246,14,74,2,fiat 124 tc,3GNBAADB8AS581551,74800,5/29/2018
24,4,120,97,2489,15,74,3,honda civic,3GNBAADB8AS581552,74900,5/30/2018
26,4,108,93,2391,15.5,74,3,subaru,3GNBAADB8AS581553,75000,5/31/2018
31,4,79,67,2000,16,74,2,fiat x1.9,3GNBAADB8AS581554,75100,6/1/2018
19,6,225,95,3264,16,75,1,plymouth valiant custom,3GNBAADB8AS581555,75200,6/2/2018
18,6,250,105,3459,16,75,1,chevrolet nova,3GNBAADB8AS581556,75300,6/3/2018
15,6,250,72,3432,21,75,1,mercury monarch,3GNBAADB8AS581557,75400,6/4/2018
15,6,250,72,3158,19.5,75,1,ford maverick,3GNBAADB8AS581558,75500,6/5/2018
16,8,400,170,4668,11.5,75,1,pontiac catalina,3GNBAADB8AS581559,75600,6/6/2018
15,8,350,145,4440,14,75,1,chevrolet bel air,3GNBAADB8AS581560,75700,6/7/2018
16,8,318,150,4498,14.5,75,1,plymouth grand fury,3GNBAADB8AS581561,75800,6/8/2018
14,8,351,148,4657,13.5,75,1,ford ltd,3GNBAADB8AS581562,75900,6/9/2018
17,6,231,110,3907,21,75,1,buick century,3GNBAADB8AS581563,76000,6/10/2018
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,3GNBAADB8AS581564,76100,6/11/2018
15,6,258,110,3730,19,75,1,amc matador,3GNBAADB8AS581565,76200,6/12/2018
18,6,225,95,3785,19,75,1,plymouth fury,3GNBAADB8AS581566,76300,6/13/2018
21,6,231,110,3039,15,75,1,buick skyhawk,3GNBAADB8AS581567,76400,6/14/2018
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,3GNBAADB8AS581568,76500,6/15/2018
13,8,302,129,3169,12,75,1,ford mustang ii,3GNBAADB8AS581569,76600,6/16/2018
29,4,97,75,2171,16,75,3,toyota corolla,3GNBAADB8AS581570,76700,6/17/2018
23,4,140,83,2639,17,75,1,ford pinto,3GNBAADB8AS581571,76800,6/18/2018
20,6,232,100,2914,16,75,1,amc gremlin,3GNBAADB8AS581572,76900,6/19/2018
23,4,140,78,2592,18.5,75,1,pontiac astro,3GNBAADB8AS581573,77000,6/20/2018
24,4,134,96,2702,13.5,75,3,toyota corona,3GNBAADB8AS581574,77100,6/21/2018
25,4,90,71,2223,16.5,75,2,volkswagen dasher,3GNBAADB8AS581575,77200,6/22/2018
24,4,119,97,2545,17,75,3,datsun 710,3GNBAADB8AS581576,77300,6/23/2018
18,6,171,97,2984,14.5,75,1,ford pinto,3GNBAADB8AS581577,77400,6/24/2018
29,4,90,70,1937,14,75,2,volkswagen rabbit,3GNBAADB8AS581578,77500,6/25/2018
19,6,232,90,3211,17,75,1,amc pacer,3GNBAADB8AS581579,77600,6/26/2018
23,4,115,95,2694,15,75,2,audi 100ls,3GNBAADB8AS581580,77700,6/27/2018
23,4,120,88,2957,17,75,2,peugeot 504,3GNBAADB8AS581581,77800,6/28/2018
22,4,121,98,2945,14.5,75,2,volvo 244dl,3GNBAADB8AS581582,77900,6/29/2018
25,4,121,115,2671,13.5,75,2,saab 99le,3GNBAADB8AS581583,78000,6/30/2018
33,4,91,53,1795,17.5,75,3,honda civic cvcc,3GNBAADB8AS581584,78100,7/1/2018
28,4,107,86,2464,15.5,76,2,fiat 131,3GNBAADB8AS581585,78200,7/2/2018
25,4,116,81,2220,16.9,76,2,opel 1900,3GNBAADB8AS581586,78300,7/3/2018
25,4,140,92,2572,14.9,76,1,capri ii,3GNBAADB8AS581587,78400,7/4/2018
26,4,98,79,2255,17.7,76,1,dodge colt,3GNBAADB8AS581588,78500,7/5/2018
27,4,101,83,2202,15.3,76,2,renault 12tl,3GNBAADB8AS581589,78600,7/6/2018
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,3GNBAADB8AS581590,78700,7/7/2018
16,8,318,150,4190,13,76,1,dodge coronet brougham,3GNBAADB8AS581591,78800,7/8/2018
15.5,8,304,120,3962,13.9,76,1,amc matador,3GNBAADB8AS581592,78900,7/9/2018
14.5,8,351,152,4215,12.8,76,1,ford gran torino,3GNBAADB8AS581593,79000,7/10/2018
22,6,225,100,3233,15.4,76,1,plymouth valiant,3GNBAADB8AS581594,79100,7/11/2018
22,6,250,105,3353,14.5,76,1,chevrolet nova,3GNBAADB8AS581595,79200,7/12/2018
24,6,200,81,3012,17.6,76,1,ford maverick,3GNBAADB8AS581596,79300,7/13/2018
22.5,6,232,90,3085,17.6,76,1,amc hornet,3GNBAADB8AS581597,79400,7/14/2018
29,4,85,52,2035,22.2,76,1,chevrolet chevette,3GNBAADB8AS581598,79500,7/15/2018
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,3GNBAADB8AS581599,79600,7/16/2018
29,4,90,70,1937,14.2,76,2,vw rabbit,3GNBAADB8AS581600,79700,7/17/2018
33,4,91,53,1795,17.4,76,3,honda civic,3GNBAADB8AS581601,79800,7/18/2018
20,6,225,100,3651,17.7,76,1,dodge aspen se,3GNBAADB8AS581602,79900,7/19/2018
18,6,250,78,3574,21,76,1,ford granada ghia,3GNBAADB8AS581603,80000,7/20/2018
18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj,3GNBAADB8AS581604,80100,7/21/2018
